
ko:K00001	path:ko00010
ko:K00001	path:ko00071
ko:K00001	path:ko00350
ko:K00001	path:ko00620
ko:K00001	path:ko00625
ko:K00001	path:ko00626
ko:K00001	path:ko00830
ko:K00001	path:ko00980
ko:K00001	path:ko00982
ko:K00001	path:ko01100
ko:K00001	path:ko01110
ko:K00001	path:ko01120
ko:K00001	path:ko01220
ko:K00001	path:map00010
ko:K00001	path:map00071
ko:K00001	path:map00350
ko:K00001	path:map00620
ko:K00001	path:map00625
ko:K00001	path:map00626
ko:K00001	path:map00830
ko:K00001	path:map00980
ko:K00001	path:map00982
ko:K00001	path:map01100
ko:K00001	path:map01110
ko:K00001	path:map01120
ko:K00001	path:map01220
ko:K00002	path:ko00010
ko:K00002	path:ko00040
ko:K00002	path:ko00053
ko:K00002	path:ko00561
ko:K00002	path:ko00620
ko:K00002	path:ko00930
ko:K00002	path:ko01100
ko:K00002	path:ko01110
ko:K00002	path:ko01120
ko:K00002	path:ko01220
ko:K00002	path:ko01240
ko:K00002	path:ko05208
ko:K00002	path:map00010
ko:K00002	path:map00040
ko:K00002	path:map00053
ko:K00002	path:map00561
ko:K00002	path:map00620
ko:K00002	path:map00930
ko:K00002	path:map01100
ko:K00002	path:map01110
ko:K00002	path:map01120
ko:K00002	path:map01220
ko:K00002	path:map01240
ko:K00002	path:map05208
ko:K00006	path:ko00564
ko:K00006	path:ko01110
ko:K00006	path:ko04011
ko:K00006	path:map00564
ko:K00006	path:map01110
ko:K00006	path:map04011
ko:K00008	path:ko00040
ko:K00008	path:ko00051
ko:K00008	path:ko01100
ko:K00008	path:map00040
ko:K00008	path:map00051
ko:K00008	path:map01100
ko:K00012	path:ko00040
ko:K00012	path:ko00053
ko:K00012	path:ko00520
ko:K00012	path:ko00541
ko:K00012	path:ko01100
ko:K00012	path:ko01240
ko:K00012	path:ko01250
ko:K00012	path:map00040
ko:K00012	path:map00053
ko:K00012	path:map00520
ko:K00012	path:map00541
ko:K00012	path:map01100
ko:K00012	path:map01240
ko:K00012	path:map01250
ko:K00013	path:ko00340
ko:K00013	path:ko01100
ko:K00013	path:ko01110
ko:K00013	path:ko01230
ko:K00013	path:map00340
